direction,operateur_origine,operateur_destination,mois,volume,categorie_client,raison_principale,wilaya
PORT_OUT,OOREDOO,ORANGE,2026-03-01,189,RESI,PROMO_CONCURRENT,Grand Tunis
PORT_IN,TT,OOREDOO,2026-04-01,2567,RESI,POST_EID,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2026-04-01,812,RESI,POST_EID,Grand Tunis
PORT_OUT,OOREDOO,TT,2026-04-01,298,RESI,PRIX,Grand Tunis
PORT_IN,TT,OOREDOO,2026-05-01,1678,RESI,PRIX,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2026-05-01,534,RESI,PRIX,Grand Tunis
PORT_OUT,OOREDOO,TT,2026-05-01,356,RESI,PRIX,Grand Tunis
PORT_IN,TT,OOREDOO,2026-06-01,1890,RESI,ETE,Grand Tunis
PORT_IN,ORANGE,OOREDOO,2026-06-01,612,RESI,ETE,Grand Tunis
PORT_OUT,OOREDOO,ORANGE,2026-06-01,287,RESI,PROMO_CONCURRENT,Grand Tunis
