num_client,store_id,first_transaction_date,last_transaction_date,tenure_months,nb_transactions,total_spend,arpu_monthly,current_offer,type_abonnement,type_client,nb_upgrades,engagement_months,churn_score,churn_risk
0136a4a6732d,I87,2024-10-01,2026-03-01,16.95,108,1770.0,104.42,,,EXISTANT,0,0,0.3238,low
0137577733e9,M10,2024-10-01,2026-03-01,16.95,126,357.77,21.11,,,EXISTANT,0,0,0.3877,low
0137f0b708b6,S46,2024-10-01,2026-03-01,16.95,36,540.0,31.86,,,EXISTANT,0,0,0.5647,high
013a48b6c9cb,I52,2024-10-01,2026-03-01,16.95,72,30057.0,1773.13,,,EXISTANT,0,0,0.3585,low
013c35e4ae53,I63,2024-10-01,2026-03-01,16.95,144,2774.33,163.66,,,EXISTANT,0,0,0.2846,low
013e699534ff,M11,2024-10-01,2026-03-01,16.95,36,1183.71,69.83,,,EXISTANT,0,0,0.52,medium
014128729898,I12,2024-10-01,2026-03-01,16.95,54,52.62,3.1,,,EXISTANT,0,0,0.5846,high
014180c442c8,I61,2024-10-01,2026-03-01,16.95,126,2220.0,130.96,,,EXISTANT,0,0,0.3004,low
0145fd354790,I55,2024-10-01,2026-03-01,16.95,18,305.36,18.01,,,EXISTANT,0,0,0.6425,high
01473e74eafd,I31,2024-10-01,2026-03-01,16.95,54,1060.2,62.54,,,EXISTANT,0,0,0.4649,medium
0147d9c81fe6,I86,2024-10-01,2026-03-01,16.95,18,110.0,6.49,,,EXISTANT,0,0,0.679,high
014d03c0c4fc,I83,2024-10-01,2026-03-01,16.95,180,4377.6,258.24,,,EXISTANT,0,0,0.2669,low
0158a83094ac,S45,2024-10-01,2026-03-01,16.95,36,450.0,26.55,,,EXISTANT,0,0,0.5711,high
015ca64a43c8,I31,2024-10-01,2026-03-01,16.95,126,872.39,51.46,,,EXISTANT,0,0,0.3451,low
016364220f71,M10,2024-10-01,2026-03-01,16.95,108,1621.69,95.67,,,EXISTANT,0,0,0.3269,low
01678632cc6e,I04,2024-10-01,2026-03-01,16.95,54,508.78,30.01,,,EXISTANT,0,0,0.506,medium
0167b6a1f579,S32,2024-10-01,2026-03-01,16.95,90,102.0,6.02,,,EXISTANT,0,0,0.475,medium
01686ded03e8,I05,2024-10-01,2026-03-01,16.95,90,992.11,58.53,,,EXISTANT,0,0,0.3778,low
016d5963ae13,S47,2024-10-01,2026-03-01,16.95,90,3992.13,235.5,,,EXISTANT,0,0,0.33,low
016f080ff2fd,S21,2024-10-01,2026-03-01,16.95,36,570.0,33.63,,,EXISTANT,0,0,0.5615,high
01739000d875,S34,2024-10-01,2026-03-01,16.95,72,126.18,7.44,,,EXISTANT,0,0,0.5068,medium
0176cfaeaf75,S30,2024-10-01,2026-03-01,16.95,18,300.0,17.7,,,EXISTANT,0,0,0.644,high
017992ebe11c,I07,2024-10-01,2026-03-01,16.95,18,547.2,32.28,,,EXISTANT,0,0,0.6188,high
0179ed320390,I73,2024-10-01,2026-03-01,16.95,72,1290.0,76.1,,,EXISTANT,0,0,0.4007,low
017a4533f50c,I73,2024-10-01,2026-03-01,16.95,54,0.0,0.0,,,EXISTANT,0,0,0.606,high
017dc5b40969,I18,2024-10-01,2026-03-01,16.95,36,638.0,37.64,,,EXISTANT,0,0,0.5531,medium
018039a6e4b4,I50,2024-10-01,2026-03-01,16.95,72,65.16,3.84,,,EXISTANT,0,0,0.5271,medium
0183578ed18e,I28,2024-10-01,2026-03-01,16.95,54,960.0,56.63,,,EXISTANT,0,0,0.4702,medium
0188103930cc,S49,2024-10-01,2026-03-01,16.95,162,1175.44,69.34,,,EXISTANT,0,0,0.3105,low
018a207b5c16,S36,2024-10-01,2026-03-01,16.95,54,330.0,19.47,,,EXISTANT,0,0,0.5217,medium
018f0136b945,I56,2024-10-01,2026-03-01,16.95,72,922.5,54.42,,,EXISTANT,0,0,0.4207,low
0197de119c91,I25,2024-10-01,2026-03-01,16.95,90,72.0,4.25,,,EXISTANT,0,0,0.4875,medium
01996263700f,I87,2024-10-01,2026-03-01,16.95,36,190.0,11.21,,,EXISTANT,0,0,0.6085,high
019980a8052c,S55,2024-10-01,2026-03-01,16.95,54,960.0,56.63,,,EXISTANT,0,0,0.4702,medium
019e4a3fc9ec,I06,2024-10-01,2026-03-01,16.95,36,44.0,2.6,,,EXISTANT,0,0,0.6499,high
019e7e7edfe2,S10,2024-10-01,2026-03-01,16.95,90,1560.0,92.03,,,EXISTANT,0,0,0.3537,low
019fafadf556,I70,2024-10-01,2026-03-01,16.95,72,1110.0,65.48,,,EXISTANT,0,0,0.4103,low
01a53728f3f5,S50,2024-10-01,2026-03-01,16.95,72,1260.0,74.33,,,EXISTANT,0,0,0.4019,low
01a663bce26a,S02,2024-10-01,2026-03-01,16.95,198,202.01,11.92,,,EXISTANT,0,0,0.3886,low
01a89ec714f0,I07,2024-10-01,2026-03-01,16.95,90,102.0,6.02,,,EXISTANT,0,0,0.475,medium
01af63fbd704,I57,2024-10-01,2026-03-01,16.95,54,1520.14,89.68,,,EXISTANT,0,0,0.4453,medium
01b3844a062b,S09,2024-10-01,2026-03-01,16.95,54,1152.0,67.96,,,EXISTANT,0,0,0.4604,medium
01b47907fb26,I83,2024-10-01,2026-03-01,16.95,108,1724.71,101.74,,,EXISTANT,0,0,0.3249,low
01b56eb93861,I57,2024-10-01,2026-03-01,16.95,18,270.0,15.93,,,EXISTANT,0,0,0.6498,high
01b63739b8cd,I05,2024-10-01,2026-03-01,16.95,54,1322.4,78.01,,,EXISTANT,0,0,0.4515,medium
01b6967bdbcf,I17,2024-10-01,2026-03-01,16.95,54,763.16,45.02,,,EXISTANT,0,0,0.4832,medium
01b7c8f9cdc1,S10,2024-10-01,2026-03-01,16.95,36,47.5,2.8,,,EXISTANT,0,0,0.6485,high
01c0875de8c4,I37,2024-10-01,2026-03-01,16.95,18,100.0,5.9,,,EXISTANT,0,0,0.683,high
01c23bdbfa95,I09,2024-10-01,2026-03-01,16.95,36,63.0,3.72,,,EXISTANT,0,0,0.6414,high
01c2bbb93d13,I73,2024-10-01,2026-03-01,16.95,54,990.0,58.4,,,EXISTANT,0,0,0.4685,medium
01c343012798,I93,2024-10-01,2026-03-01,16.95,18,162.0,9.56,,,EXISTANT,0,0,0.6686,high
01c5f8041222,M04,2024-10-01,2026-03-01,16.95,162,2325.0,137.16,,,EXISTANT,0,0,0.2817,low
01c8cbac29d6,S26,2024-10-01,2026-03-01,16.95,36,724.5,42.74,,,EXISTANT,0,0,0.5465,medium
01ca4b090b99,I80,2024-10-01,2026-03-01,16.95,54,270.0,15.93,,,EXISTANT,0,0,0.5333,medium
01cb9dfef997,I88,2024-10-01,2026-03-01,16.95,90,1365.63,80.56,,,EXISTANT,0,0,0.36,low
01cd4fafa87c,I79,2024-10-01,2026-03-01,16.95,54,870.0,51.32,,,EXISTANT,0,0,0.4769,medium
01cd62348ddf,S26,2024-10-01,2026-03-01,16.95,72,900.0,53.09,,,EXISTANT,0,0,0.4222,low
01d000d5759d,I23,2024-10-01,2026-03-01,16.95,36,0.0,0.0,,,EXISTANT,0,0,0.6673,high
01d39dcac38f,S55,2024-10-01,2026-03-01,16.95,54,33.7,1.99,,,EXISTANT,0,0,0.5939,high
01d3cabe829c,S37,2024-10-01,2026-03-01,16.95,36,210.0,12.39,,,EXISTANT,0,0,0.604,high
01d45f3f9b23,S48,2024-10-01,2026-03-01,16.95,342,16363.0,965.29,,,EXISTANT,0,0,0.2529,low
01d6039b4f44,I80,2024-10-01,2026-03-01,16.95,36,520.0,30.68,,,EXISTANT,0,0,0.5663,high
01d7019b109b,S02,2024-10-01,2026-03-01,16.95,90,87.17,5.14,,,EXISTANT,0,0,0.482,medium
01d93efe2f11,I57,2024-10-01,2026-03-01,16.95,36,96.49,5.69,,,EXISTANT,0,0,0.6295,high
01dc6f8a9e43,S12,2024-10-01,2026-03-01,16.95,90,210.53,12.42,,,EXISTANT,0,0,0.4519,medium
01dd3a6672a0,I77,2024-10-01,2026-03-01,16.95,54,1332.0,78.58,,,EXISTANT,0,0,0.4512,medium
01de02ec6d16,S41,2024-10-01,2026-03-01,16.95,36,200.0,11.8,,,EXISTANT,0,0,0.6062,high
01e44030ad42,S26,2024-10-01,2026-03-01,16.95,36,210.0,12.39,,,EXISTANT,0,0,0.604,high
01e7b147a6ab,I01,2024-10-01,2026-03-01,16.95,36,78.95,4.66,,,EXISTANT,0,0,0.6367,high
01ea05a68bf7,S14,2024-10-01,2026-03-01,16.95,18,330.0,19.47,,,EXISTANT,0,0,0.6382,high
01ebcb71b400,M14,2024-10-01,2026-03-01,16.95,72,184.21,10.87,,,EXISTANT,0,0,0.4961,medium
01ebd701b9e6,I42,2024-10-01,2026-03-01,16.95,36,100.0,5.9,,,EXISTANT,0,0,0.6278,high
01f205fec58b,I58,2024-10-01,2026-03-01,16.95,108,1512.0,89.2,,,EXISTANT,0,0,0.3301,low
01f31ab60711,I22,2024-10-01,2026-03-01,16.95,18,30.0,1.77,,,EXISTANT,0,0,0.7113,high
01f4c25594be,I40,2024-10-01,2026-03-01,16.95,90,1575.0,92.91,,,EXISTANT,0,0,0.3533,low
01f5b8ca6902,M10,2024-10-01,2026-03-01,16.95,54,1122.82,66.24,,,EXISTANT,0,0,0.4619,medium
01fdff44a38d,I09,2024-10-01,2026-03-01,16.95,36,0.0,0.0,,,EXISTANT,0,0,0.6673,high
02059b273be1,S46,2024-10-01,2026-03-01,16.95,90,90.64,5.35,,,EXISTANT,0,0,0.4797,medium
020f834e1974,I04,2024-10-01,2026-03-01,16.95,72,377.2,22.25,,,EXISTANT,0,0,0.4643,medium
020fdbf94e6b,S05,2024-10-01,2026-03-01,16.95,36,100.0,5.9,,,EXISTANT,0,0,0.6278,high
021439c1e90d,I45,2024-10-01,2026-03-01,16.95,90,2235.53,131.88,,,EXISTANT,0,0,0.341,low
0218d149f20f,I21,2024-10-01,2026-03-01,16.95,54,60.0,3.54,,,EXISTANT,0,0,0.5812,high
0218e0cf6df2,I05,2024-10-01,2026-03-01,16.95,18,135.26,7.98,,,EXISTANT,0,0,0.6736,high
021996d547f4,I91,2024-10-01,2026-03-01,16.95,36,2502.3,147.62,,,EXISTANT,0,0,0.4898,medium
021e46851b7a,I21,2024-10-01,2026-03-01,16.95,90,380.0,22.42,,,EXISTANT,0,0,0.4257,low
021f06aca9d9,S02,2024-10-01,2026-03-01,16.95,90,66.12,3.9,,,EXISTANT,0,0,0.4888,medium
02211fea7d5e,S05,2024-10-01,2026-03-01,16.95,54,900.0,53.09,,,EXISTANT,0,0,0.4745,medium
0223769aa202,I97,2024-10-01,2026-03-01,16.95,18,1000.0,58.99,,,EXISTANT,0,0,0.5843,high
02238dbab5d3,M23,2024-10-01,2026-03-01,16.95,144,69246.0,4084.98,,,EXISTANT,0,0,0.2684,low
02258d7a6574,S10,2024-10-01,2026-03-01,16.95,54,1710.0,100.88,,,EXISTANT,0,0,0.4404,low
022aa1189e34,S34,2024-10-01,2026-03-01,16.95,18,495.0,29.2,,,EXISTANT,0,0,0.6235,high
022de1289b35,I79,2024-10-01,2026-03-01,16.95,54,52.0,3.07,,,EXISTANT,0,0,0.585,high
022f9e954a16,I87,2024-10-01,2026-03-01,16.95,72,1170.0,69.02,,,EXISTANT,0,0,0.4071,low
02304f9f30b3,I33,2024-10-01,2026-03-01,16.95,18,370.45,21.85,,,EXISTANT,0,0,0.6333,high
023050a31f2e,S45,2024-10-01,2026-03-01,16.95,90,17799.0,1050.0,,,EXISTANT,0,0,0.322,low
02317427962b,S49,2024-10-01,2026-03-01,16.95,90,530.0,31.27,,,EXISTANT,0,0,0.4141,low
0233130bca8c,S36,2024-10-01,2026-03-01,16.95,108,1520.0,89.67,,,EXISTANT,0,0,0.33,low
0234c9913f2b,S43,2024-10-01,2026-03-01,16.95,18,120.0,7.08,,,EXISTANT,0,0,0.6769,high
0238142546a9,S06,2024-10-01,2026-03-01,16.95,72,1140.0,67.25,,,EXISTANT,0,0,0.4087,low
023eeb349cfb,S32,2024-10-01,2026-03-01,16.95,72,72.62,4.28,,,EXISTANT,0,0,0.5252,medium
0241709821d3,I07,2024-10-01,2026-03-01,16.95,54,1450.0,85.54,,,EXISTANT,0,0,0.4473,medium
0244e71b2dd8,S45,2024-10-01,2026-03-01,16.95,108,155.0,9.14,,,EXISTANT,0,0,0.4381,low
024548b6937c,I23,2024-10-01,2026-03-01,16.95,54,135.97,8.02,,,EXISTANT,0,0,0.5569,medium
0248236d9d33,M10,2024-10-01,2026-03-01,16.95,108,420.0,24.78,,,EXISTANT,0,0,0.3969,low
024b4908a737,S43,2024-10-01,2026-03-01,16.95,18,396.0,23.36,,,EXISTANT,0,0,0.6311,high
024c4f90f454,I57,2024-10-01,2026-03-01,16.95,72,151.58,8.94,,,EXISTANT,0,0,0.5015,medium
0252b1169c1f,S46,2024-10-01,2026-03-01,16.95,54,855.0,50.44,,,EXISTANT,0,0,0.4782,medium
0254705de52b,I64,2024-10-01,2026-03-01,16.95,108,46481.0,2742.02,,,EXISTANT,0,0,0.2951,low
025ef2744936,I50,2024-10-01,2026-03-01,16.95,18,270.0,15.93,,,EXISTANT,0,0,0.6498,high
025fd947b39c,I27,2024-10-01,2026-03-01,16.95,36,110.0,6.49,,,EXISTANT,0,0,0.6239,high
0261489e1869,I82,2024-10-01,2026-03-01,16.95,54,59.64,3.52,,,EXISTANT,0,0,0.5816,high
0261df43c483,I31,2024-10-01,2026-03-01,16.95,36,38.0,2.24,,,EXISTANT,0,0,0.6537,high
02640c3b5eef,I22,2024-10-01,2026-03-01,16.95,72,1110.0,65.48,,,EXISTANT,0,0,0.4103,low
0266e8d8e4f9,I58,2024-10-01,2026-03-01,16.95,54,160.0,9.44,,,EXISTANT,0,0,0.5525,medium
026a511f138b,S19,2024-10-01,2026-03-01,16.95,36,756.0,44.6,,,EXISTANT,0,0,0.5449,medium
026d5450a72a,M11,2024-10-01,2026-03-01,16.95,90,512.93,30.26,,,EXISTANT,0,0,0.4152,low
026f340e0e79,M11,2024-10-01,2026-03-01,16.95,72,943.0,55.63,,,EXISTANT,0,0,0.4191,low
0272654d35cb,M10,2024-10-01,2026-03-01,16.95,54,1080.0,63.71,,,EXISTANT,0,0,0.4638,medium
0277af05f06b,S09,2024-10-01,2026-03-01,16.95,54,170.0,10.03,,,EXISTANT,0,0,0.5512,medium
0278aa9fcd11,M10,2024-10-01,2026-03-01,16.95,108,723.42,42.68,,,EXISTANT,0,0,0.37,low
02793071d979,S43,2024-10-01,2026-03-01,16.95,36,63.0,3.72,,,EXISTANT,0,0,0.6414,high
0279a5f54a3e,M10,2024-10-01,2026-03-01,16.95,72,1062.0,62.65,,,EXISTANT,0,0,0.4124,low
027ee4ec8bba,S05,2024-10-01,2026-03-01,16.95,36,38.0,2.24,,,EXISTANT,0,0,0.6537,high
0284f3c7247f,M10,2024-10-01,2026-03-01,16.95,18,100.0,5.9,,,EXISTANT,0,0,0.683,high
028c788bda35,I46,2024-10-01,2026-03-01,16.95,72,195.0,11.5,,,EXISTANT,0,0,0.4937,medium
028df7aec7f0,I39,2024-10-01,2026-03-01,16.95,90,5200.0,306.76,,,EXISTANT,0,0,0.3276,low
028e6e8fee0a,I86,2024-10-01,2026-03-01,16.95,72,1053.0,62.12,,,EXISTANT,0,0,0.4127,low
0291bdcca10a,S17,2024-10-01,2026-03-01,16.95,18,768.9,45.36,,,EXISTANT,0,0,0.5995,high
0296cea2bf62,I61,2024-10-01,2026-03-01,16.95,126,8485.9,500.6,,,EXISTANT,0,0,0.2839,low
029759bf6fff,I05,2024-10-01,2026-03-01,16.95,54,342.0,20.18,,,EXISTANT,0,0,0.52,medium
02982e0dd231,I57,2024-10-01,2026-03-01,16.95,108,110.62,6.53,,,EXISTANT,0,0,0.4465,medium
029a2d3eec10,I05,2024-10-01,2026-03-01,16.95,72,24977.19,1473.46,,,EXISTANT,0,0,0.359,low
02a08cf5844e,I14,2024-10-01,2026-03-01,16.95,54,1188.0,70.08,,,EXISTANT,0,0,0.4585,medium
02a1632cee22,I63,2024-10-01,2026-03-01,16.95,90,624.0,36.81,,,EXISTANT,0,0,0.4038,low
02a203ba2e5a,S48,2024-10-01,2026-03-01,16.95,216,4473.4,263.9,,,EXISTANT,0,0,0.2621,low
02a3f9d0e18c,S54,2024-10-01,2026-03-01,16.95,18,24.0,1.42,,,EXISTANT,0,0,0.7132,high
