date,store_id,objectif_ca,objectif_transactions,objectif_panier_moyen
2024-04-03,I08,15319.75,27,567.4
2024-04-04,I08,16085.74,28,574.49
2024-04-05,I08,16851.73,30,561.72
2024-04-06,I08,19915.68,35,569.02
2024-04-07,I08,12255.8,21,583.61
2024-04-08,I08,13787.78,24,574.49
2024-04-09,I08,14553.76,26,559.76
2024-04-10,I08,15319.75,27,567.4
2024-04-11,I08,16085.74,28,574.49
2024-04-12,I08,16851.73,30,561.72
2024-04-13,I08,19915.68,35,569.02
2024-04-14,I08,12255.8,21,583.61
2024-04-15,I08,13787.78,24,574.49
2024-04-16,I08,14553.76,26,559.76
2024-04-17,I08,15319.75,27,567.4
2024-04-18,I08,16085.74,28,574.49
2024-04-19,I08,16851.73,30,561.72
2024-04-20,I08,19915.68,35,569.02
2024-04-21,I08,12255.8,21,583.61
2024-04-22,I08,13787.78,24,574.49
2024-04-23,I08,14553.76,26,559.76
2024-04-24,I08,15319.75,27,567.4
2024-04-25,I08,16085.74,28,574.49
2024-04-26,I08,16851.73,30,561.72
2024-04-27,I08,19915.68,35,569.02
2024-04-28,I08,12255.8,21,583.61
2024-04-29,I08,13787.78,24,574.49
2024-04-30,I08,14553.76,26,559.76
2024-05-01,I08,13969.81,27,517.4
2024-05-02,I08,14668.3,28,523.87
2024-05-03,I08,15366.79,29,529.89
2024-05-04,I08,18160.75,35,518.88
2024-05-05,I08,11175.85,21,532.18
2024-05-06,I08,12572.83,24,523.87
2024-05-07,I08,13271.32,25,530.85
2024-05-08,I08,13969.81,27,517.4
2024-05-09,I08,14668.3,28,523.87
2024-05-10,I08,15366.79,29,529.89
2024-05-11,I08,18160.75,35,518.88
2024-05-12,I08,11175.85,21,532.18
2024-05-13,I08,12572.83,24,523.87
2024-05-14,I08,13271.32,25,530.85
2024-05-15,I08,13969.81,27,517.4
2024-05-16,I08,14668.3,28,523.87
2024-05-17,I08,15366.79,29,529.89
2024-05-18,I08,18160.75,35,518.88
2024-05-19,I08,11175.85,21,532.18
2024-05-20,I08,12572.83,24,523.87
2024-05-21,I08,13271.32,25,530.85
2024-05-22,I08,13969.81,27,517.4
2024-05-23,I08,14668.3,28,523.87
2024-05-24,I08,15366.79,29,529.89
2024-05-25,I08,18160.75,35,518.88
2024-05-26,I08,11175.85,21,532.18
2024-05-27,I08,12572.83,24,523.87
2024-05-28,I08,13271.32,25,530.85
2024-05-29,I08,13969.81,27,517.4
2024-05-30,I08,14668.3,28,523.87
2024-05-31,I08,15366.79,29,529.89
2024-06-01,I08,18725.6,34,550.75
2024-06-02,I08,11523.45,21,548.74
2024-06-03,I08,12963.88,24,540.16
2024-06-04,I08,13684.09,25,547.36
2024-06-05,I08,14404.31,27,533.49
2024-06-06,I08,15124.53,28,540.16
2024-06-07,I08,15844.74,29,546.37
2024-06-08,I08,18725.6,34,550.75
2024-06-09,I08,11523.45,21,548.74
2024-06-10,I08,12963.88,24,540.16
2024-06-11,I08,13684.09,25,547.36
2024-06-12,I08,14404.31,27,533.49
2024-06-13,I08,15124.53,28,540.16
2024-06-14,I08,15844.74,29,546.37
2024-06-15,I08,18725.6,34,550.75
2024-06-16,I08,11523.45,21,548.74
2024-06-17,I08,12963.88,24,540.16
2024-06-18,I08,13684.09,25,547.36
2024-06-19,I08,14404.31,27,533.49
2024-06-20,I08,15124.53,28,540.16
2024-06-21,I08,15844.74,29,546.37
2024-06-22,I08,18725.6,34,550.75
2024-06-23,I08,11523.45,21,548.74
2024-06-24,I08,12963.88,24,540.16
2024-06-25,I08,13684.09,25,547.36
2024-06-26,I08,14404.31,27,533.49
2024-06-27,I08,15124.53,28,540.16
2024-06-28,I08,15844.74,29,546.37
2024-06-29,I08,18725.6,34,550.75
2024-06-30,I08,11523.45,21,548.74
2024-07-01,I08,14129.47,24,588.73
2024-07-02,I08,14914.44,26,573.63
2024-07-03,I08,15699.41,27,581.46
2024-07-04,I08,16484.38,28,588.73
2024-07-05,I08,17269.35,30,575.64
2024-07-06,I08,20409.24,35,583.12
2024-07-07,I08,12559.53,22,570.89
2024-07-08,I08,14129.47,24,588.73
2024-07-09,I08,14914.44,26,573.63
2024-07-10,I08,15699.41,27,581.46
2024-07-11,I08,16484.38,28,588.73
2024-07-12,I08,17269.35,30,575.64
2024-07-13,I08,20409.24,35,583.12
2024-07-14,I08,12559.53,22,570.89
2024-07-15,I08,14129.47,24,588.73
2024-07-16,I08,14914.44,26,573.63
2024-07-17,I08,15699.41,27,581.46
2024-07-18,I08,16484.38,28,588.73
2024-07-19,I08,17269.35,30,575.64
2024-07-20,I08,20409.24,35,583.12
2024-07-21,I08,12559.53,22,570.89
2024-07-22,I08,14129.47,24,588.73
2024-07-23,I08,14914.44,26,573.63
2024-07-24,I08,15699.41,27,581.46
2024-07-25,I08,16484.38,28,588.73
2024-07-26,I08,17269.35,30,575.64
2024-07-27,I08,20409.24,35,583.12
2024-07-28,I08,12559.53,22,570.89
2024-07-29,I08,14129.47,24,588.73
2024-07-30,I08,14914.44,26,573.63
2024-07-31,I08,15699.41,27,581.46
2024-08-01,I08,15179.82,28,542.14
2024-08-02,I08,15902.67,29,548.37
2024-08-03,I08,18794.07,35,536.97
2024-08-04,I08,11565.58,21,550.74
2024-08-05,I08,13011.28,24,542.14
2024-08-06,I08,13734.13,25,549.37
2024-08-07,I08,14456.98,27,535.44
2024-08-08,I08,15179.82,28,542.14
2024-08-09,I08,15902.67,29,548.37
2024-08-10,I08,18794.07,35,536.97
2024-08-11,I08,11565.58,21,550.74
2024-08-12,I08,13011.28,24,542.14
2024-08-13,I08,13734.13,25,549.37
2024-08-14,I08,14456.98,27,535.44
2024-08-15,I08,15179.82,28,542.14
2024-08-16,I08,15902.67,29,548.37
2024-08-17,I08,18794.07,35,536.97
2024-08-18,I08,11565.58,21,550.74
2024-08-19,I08,13011.28,24,542.14
2024-08-20,I08,13734.13,25,549.37
2024-08-21,I08,14456.98,27,535.44
2024-08-22,I08,15179.82,28,542.14
2024-08-23,I08,15902.67,29,548.37
2024-08-24,I08,18794.07,35,536.97
2024-08-25,I08,11565.58,21,550.74
2024-08-26,I08,13011.28,24,542.14
2024-08-27,I08,13734.13,25,549.37
2024-08-28,I08,14456.98,27,535.44
2024-08-29,I08,15179.82,28,542.14
2024-08-30,I08,15902.67,29,548.37
2024-08-31,I08,18794.07,35,536.97
2024-09-01,I08,13957.62,22,634.44
2024-09-02,I08,15702.32,25,628.09
2024-09-03,I08,16574.67,26,637.49
2024-09-04,I08,17447.03,27,646.19
2024-09-05,I08,18319.38,29,631.7
2024-09-06,I08,19191.73,30,639.72
2024-09-07,I08,22681.13,36,630.03
2024-09-08,I08,13957.62,22,634.44
2024-09-09,I08,15702.32,25,628.09
2024-09-10,I08,16574.67,26,637.49
2024-09-11,I08,17447.03,27,646.19
2024-09-12,I08,18319.38,29,631.7
2024-09-13,I08,19191.73,30,639.72
2024-09-14,I08,22681.13,36,630.03
2024-09-15,I08,13957.62,22,634.44
2024-09-16,I08,15702.32,25,628.09
2024-09-17,I08,16574.67,26,637.49
2024-09-18,I08,17447.03,27,646.19
2024-09-19,I08,18319.38,29,631.7
2024-09-20,I08,19191.73,30,639.72
2024-09-21,I08,22681.13,36,630.03
2024-09-22,I08,13957.62,22,634.44
2024-09-23,I08,15702.32,25,628.09
2024-09-24,I08,16574.67,26,637.49
2024-09-25,I08,17447.03,27,646.19
2024-09-26,I08,18319.38,29,631.7
2024-09-27,I08,19191.73,30,639.72
2024-09-28,I08,22681.13,36,630.03
2024-09-29,I08,13957.62,22,634.44
2024-09-30,I08,15702.32,25,628.09
2024-10-01,I08,13257.49,25,530.3
2024-10-02,I08,13955.25,26,536.74
2024-10-03,I08,14653.01,28,523.32
2024-10-04,I08,15350.77,29,529.34
2024-10-05,I08,18141.82,34,533.58
2024-10-06,I08,11164.2,21,531.63
2024-10-07,I08,12559.72,24,523.32
2024-10-08,I08,13257.49,25,530.3
2024-10-09,I08,13955.25,26,536.74
2024-10-10,I08,14653.01,28,523.32
2024-10-11,I08,15350.77,29,529.34
2024-10-12,I08,18141.82,34,533.58
2024-10-13,I08,11164.2,21,531.63
2024-10-14,I08,12559.72,24,523.32
2024-10-15,I08,13257.49,25,530.3
2024-10-16,I08,13955.25,26,536.74
2024-10-17,I08,14653.01,28,523.32
2024-10-18,I08,15350.77,29,529.34
2024-10-19,I08,18141.82,34,533.58
2024-10-20,I08,11164.2,21,531.63
2024-10-21,I08,12559.72,24,523.32
2024-10-22,I08,13257.49,25,530.3
2024-10-23,I08,13955.25,26,536.74
2024-10-24,I08,14653.01,28,523.32
