CD_DIST;NOM_DIST;ADRESSE;VILLE;TEL;FAX;RESPONSABLE;INTERNE_EXTERNE;CD_STATUT;DATE_STATUT;DATE_CREA;OBSERVATIONS;CODE_BAR_PTV;MAT_FISCAL;NUM_COMPT;SOLDE;DAT_MAJ;COD_USER;COD_PDV;JOURNAL;CLE;CENT_REP;CODE_ENTITE_PERE;CODE_TYPE_ENTITE;EMAIL
S07;FR MORNAG;FR MORNAG;FR MORNAG;;;;F;A;06/28/2016 13:52:45;06/28/2016 13:52:45;;9139;;9139;;06/28/2016 13:52:45;0551;9139;S07;141;N;2;2;
S08;FR PALMARIUM;FR PALMARIUM;FR PALMARIUM;;;;F;A;06/28/2016 14:20:33;06/28/2016 14:20:33;;9140;;9140;;06/28/2016 14:20:33;0551;9140;S08;142;N;2;2;
S09;FR BOUMHEL;FR BOUMHEL;FR BOUMHEL;;;;F;A;06/28/2016 14:33:53;06/28/2016 14:33:53;;9141;;9141;;06/28/2016 14:33:53;0551;9141;S09;143;N;4;2;
S10;FR MARETH;FR MARETH;FR MARETH;;;;F;A;06/28/2016 14:59:33;06/28/2016 14:59:33;;9142;;9142;;06/28/2016 14:59:33;0551;9142;S10;144;N;6;2;
S11;FR DENDEN;FR DENDEN;FR DENDEN;;;;F;A;06/28/2016 15:03:24;06/28/2016 15:03:24;;9143;;9143;;06/28/2016 15:03:24;0551;9143;S11;145;N;3;2;
S22;FR BOUSALEM;FR BOUSALEM;FR BOUSALEM;;;;F;A;03/06/2017 10:18:21;03/06/2017 10:18:21;;9155;;9155;;03/06/2017 10:18:21;0551;9155;S22;157;N;3;3;
S23;FR CENTRAL PARK;FR CENTRAL PARK;FR CENTRAL PARK;;;;F;A;03/06/2017 10:52:24;03/06/2017 10:52:24;;9156;;9156;;03/06/2017 10:52:24;0551;9156;S23;158;N;2;2;
T05;Boutique VIRTUELLE OUTLET;TUNIS;TUNIS;;;;I;A;04/10/2017 17:18:21;04/10/2017 17:18:21;;9157;;9157;;04/10/2017 17:18:21;1554;9157;T05;159;N;1;3;
S25;FR RIADH ANDALOUS;FR RIADH ANDALOUS;FR RIADH ANDALOUS;;;;F;A;05/12/2017 15:21:54;05/12/2017 15:21:54;;9159;;9159;;05/12/2017 15:21:54;0551;9159;S25;161;N;1;3;
S41;FR TEBOULBA;FR TEBOULBA;FR TEBOULBA;;;;F;A;02/07/2024 12:26:40;02/07/2024 12:26:40;;9182;;9182;;02/07/2024 12:26:40;0551;9182;S41;184;N;5;2;
S42;FR SFAX BAB BHAR;FR SFAX BAB BHAR;FR SFAX BAB BHAR;;;;F;A;01/27/2025 15:20:12;01/27/2025 15:20:12;;9183;;9183;;01/27/2025 15:20:12;0551;9183;S42;185;N;6;2;
S43;FR GABES BAB BHAR;FR GABES BAB BHAR;FR GABES BAB BHAR;;;;F;A;01/29/2025 11:47:06;01/29/2025 11:47:06;;9184;;9184;;01/29/2025 11:47:06;0551;9184;S43;186;N;6;3;
S28;FR AZUR CITY;FR AZUR CITY;FR AZUR CITY;;;;F;A;10/24/2019 22:04:18;10/24/2019 22:04:18;;9165;;9165;;07/02/2021 12:07:17;0551;9165;S28;167;N;13;2;
S32;FR RAS JEBEL;FR RAS JEBEL;FR RAS JEBEL;;;;F;A;04/25/2022 08:48:14;04/25/2022 08:48:14;;9169;;9169;;04/25/2022 08:48:14;0551;9169;S32;171;N;14;2;
S44;FR FR BARDO AV HABIB BOURGUIBA;FR FR BARDO AV HABIB BOURGUIBA;FR FR BARDO AV HABIB BOURGUIBA;;;;F;A;01/29/2025 11:59:38;01/29/2025 11:59:38;;9185;;9185;;01/29/2025 11:59:38;0551;9185;S44;187;N;12;2;
S29;FR SOUKRA;FR SOUKRA;FR SOUKRA;;;;F;A;12/01/2021 09:44:19;12/01/2021 09:44:19;;9166;;9166;;12/01/2021 09:44:19;0551;9166;S29;168;N;11;2;
T45;FR EL AOUINA LITE;FR EL AOUINA LITE;FR EL AOUINA LITE;;;;F;A;06/15/2022 09:01:43;06/15/2022 09:01:43;;9175;;9175;;06/15/2022 09:01:43;0551;9175;T45;177;N;10;3;
T79;FR ZARZOUNA LITE;FR ZARZOUNA LITE;FR ZARZOUNA LITE;;;;F;A;06/15/2022 09:09:06;06/15/2022 09:09:06;;9176;;9176;;06/15/2022 09:09:06;0551;9176;T79;178;N;14;3;
T77;FR KORBA LITE;FR KORBA LITE;FR KORBA LITE;;;;F;A;06/15/2022 09:34:39;06/15/2022 09:34:39;;9177;;9177;;06/15/2022 09:34:39;0551;9177;T77;179;N;15;3;
T88;FR EL JEM LITE;FR EL JEM LITE;FR EL JEM LITE;;;;F;A;06/15/2022 10:16:20;06/15/2022 10:16:20;;9177;;9177;;06/15/2022 10:16:20;0551;9177;T88;179;N;16;3;
S37;FR EL OMRANE SUPERIEUR;FR EL OMRANE SUPERIEUR;FR EL OMRANE SUPERIEUR;;;;F;A;07/05/2022 10:16:17;07/05/2022 10:16:17;;9178;;9178;;07/05/2022 10:16:17;0551;9178;S37;180;N;10;3;
S40;FR SIDI SALAH;FR SIDI SALAH;FR SIDI SALAH;;;;F;A;11/15/2023 08:49:30;11/15/2023 08:49:30;;9181;;9181;;11/15/2023 08:49:30;0551;9181;S40;183;N;11;2;
S45;FR MAHDIA AV HABIB BOURGUIBA;FR MAHDIA AV HABIB BOURGUIBA;FR MAHDIA AV HABIB BOURGUIBA;;;;F;A;02/04/2025 09:38:16;02/04/2025 09:38:16;;9186;;9186;;02/04/2025 09:38:16;0551;9186;S45;188;N;16;2;
S46;FR BEJA AV HABIB BOURGUIBA;FR BEJA AV HABIB BOURGUIBA;FR BEJA AV HABIB BOURGUIBA;;;;F;A;02/05/2025 16:11:55;02/05/2025 16:11:55;;9187;;9187;;02/05/2025 16:11:55;0551;9187;S46;189;N;14;2;
S47;FR CARREFOUR LA MARSA;FR CARREFOUR LA MARSA;FR CARREFOUR LA MARSA;;;;F;A;02/12/2025 12:28:18;02/12/2025 12:28:18;;9188;;9188;;02/12/2025 12:28:18;0551;9188;S47;190;N;10;2;
S48;FR BIZERTE AV HABIB BOURGUIBA;FR BIZERTE AV HABIB BOURGUIBA;FR BIZERTE AV HABIB BOURGUIBA;;;;F;A;02/12/2025 14:24:14;02/12/2025 14:24:14;;9189;;9189;;02/12/2025 14:24:14;0551;9189;S48;191;N;14;2;
S30;FR BIZERTE LA CORNICHE;FR BIZERTE LA CORNICHE;FR BIZERTE LA CORNICHE;;;;F;A;12/23/2021 10:49:47;12/23/2021 10:49:47;;9167;;9167;;12/23/2021 10:49:47;0551;9167;S30;169;N;14;2;
S31;FR AVENUE KHEIREDDINE PACHA;FR AVENUE KHEIREDDINE PACHA;FR AVENUE KHEIREDDINE PACHA;;;;F;A;01/05/2022 07:56:58;01/05/2022 07:56:58;;9168;;9168;;01/05/2022 07:56:58;0551;9168;S31;170;N;14;2;
S34;FR Ezzahra;FR Ezzahra;FR Ezzahra;;;;F;A;05/10/2022 10:59:18;05/10/2022 10:59:18;;9171;;9171;;05/10/2022 10:59:18;0551;9171;S34;173;N;13;2;
S36;FR SBIKHA;FR SBIKHA;FR SBIKHA;;;;F;A;06/10/2022 09:39:52;06/10/2022 09:39:52;;9173;;9173;;06/10/2022 09:39:52;0551;9173;S36;175;N;15;2;
S49;FR DJEBENIANA;FR DJEBENIANA;FR DJEBENIANA;;;;F;A;02/27/2025 11:38:55;02/27/2025 11:38:55;;9190;;9190;;02/27/2025 11:38:55;0551;9190;S49;192;N;16;2;
S50;FR SOUASSI;FR SOUASSI;FR SOUASSI;;;;F;A;02/27/2025 11:59:42;02/27/2025 11:59:42;;9191;;9191;;02/27/2025 11:59:42;0551;9191;S50;193;N;16;2;
S51;FR KSAR GAFSA;FR KSAR GAFSA;FR KSAR GAFSA;;;;F;A;02/27/2025 12:13:22;02/27/2025 12:13:22;;9192;;9192;;02/27/2025 12:13:22;0551;9192;S51;194;N;13;3;
S52;FR MANNOUBA 2;FR MANNOUBA 2;FR MANNOUBA 2;;;;F;A;02/27/2025 12:25:37;02/27/2025 12:25:37;;9193;;9193;;02/27/2025 12:25:37;0551;9193;S52;195;N;10;3;
S53;FR LA GOULETTE;FR LA GOULETTE;FR LA GOULETTE;;;;F;A;02/27/2025 15:31:15;02/27/2025 15:31:15;;9194;;9194;;02/27/2025 15:31:15;0551;9194;S53;196;N;10;3;
S33;FR Ariana Av Habib Bourguiba;FR Ariana Av Habib Bourguiba;FR Ariana Av Habib Bourguiba;;;;F;A;05/10/2022 09:12:46;05/10/2022 09:12:46;;9170;;9170;;05/10/2022 09:12:46;0551;9170;S33;172;N;11;2;
S39;FR SFAX MALL;FR SFAX MALL;FR SFAX MALL;;;;F;A;10/16/2023 12:20:31;10/16/2023 12:20:31;;9180;;9180;;10/16/2023 12:20:31;0551;9180;S39;182;N;16;3;
T08;Boutique SOGETRA;Boutique SOGETRA;Boutique SOGETRA;;;;F;A;04/16/2025 15:32:39;04/16/2025 15:32:39;;9162;;9162;;04/16/2025 15:32:39;0551;9163;T07;164;N;2;3;
I49;Boutique MONTPLAISIR;TUNIS;TUNIS;;;;F;A;02/25/2014 14:19:23;02/25/2014 14:19:23;;9077;;9077;;04/01/2015 12:38:21;1554;9077;I49;79;N;3;3;
