COD_PROD;DES_PROD;COD_GROUP;COD_FAM;COD_SFAM;COMPOSER;PA_HT;PA_TTC;VAL_MARGE;TX_MARGE;PV_HT;TX_TVA;MNT_TVA;PV_TTC;SITUATION;QTE_MIN;QTE_MAX;VENDABLE;LIVRABLE;TYPE_PROD;VALORISABLE;LIB_FACT;REDEVANCE;TX_REMISE;NUM_COMPT;NUM_COMPT_REM;SERIALISABLE;DEPOT_VENTE;FICHE_VENTE;ID_CLIENT;NUM_APPEL;DAT_MAJ;COD_USER;VALORISATION;TX_TIMBRE_RECHARGE;FLAG_LP;INTERNE;DES_WEB;FLAG_ESHOP;LP_CORPO;PV_HT_ESHOP;FLAG_3G;ACTIF;GAMME;GAMME_DASH_ID;FAMILLE_DASH_ID;FLAG_4G;OUTLET;FLAG_AFFICHER_RESERV;DAT_OUTLET;ORDRE;INFO_TIMBRE;FLAG_5G;EOL
5030602;NOKIA 6020;50;30;602;N;;;;;109;19;21;130;N;;;O;O;R;O;NOKIA 6020;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:31:00;1269;;0;N;N;;N;N;110;N;N;11;;;;N;;;;;;N
5030623;NOKIA 6230;50;30;623;N;;;;;377;19;72;449;N;;;O;O;R;O;NOKIA 6230;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:31:00;1269;;0;N;N;;N;N;381;N;N;11;;;;N;;;;;;N
5030663;NOKIA 6630;50;30;663;N;;;;;374;19;71;445;N;;;O;O;R;O;NOKIA 6630;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:31:00;1269;;0;N;N;;N;N;377;N;N;11;;;;N;;;;;;N
5030667;NOKIA 6670;50;30;667;N;;;;;403;19;76;479;N;;;O;O;R;O;NOKIA 6670;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:31:01;1269;;0;N;N;;N;N;406;N;N;11;;;;N;;;;;;N
5030727;NOKIA 7270;50;30;727;N;;;;;361;19;68;429;N;;;O;O;R;O;NOKIA 7270;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:31:01;1269;;0;N;N;;N;N;364;N;N;11;;;;N;;;;;;N
5030728;NOKIA 7280;50;30;728;N;;;;;587;19;112;699;N;;;O;O;R;O;NOKIA 7280;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:31:01;1269;;0;N;N;;N;N;592;N;N;11;;;;N;;;;;;N
5030771;NOKIA 7710;50;30;771;N;;;;;613;19;116;729;N;;;O;O;R;O;NOKIA 7710;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:31:01;1269;;0;N;N;;N;N;618;N;N;11;;;;N;;;;;;N
5030660;NOKIA 6600;50;30;660;N;;;;;223;19;42;265;N;;;O;O;R;O;NOKIA 6600;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:31:01;1269;;0;N;N;;N;N;225;N;N;11;;;;N;;;;;;N
5020500;SAMSUNG D500;50;20;500;N;;;;;352;19;67;419;N;;;O;O;R;O;SAMSUNG D500;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:31:01;3435;;0;N;N;;N;N;352;N;N;11;;;N;N;;03/26/2019 00:00:00;;;;N
2010101;.;20;10;101;O;;;;;0;0;0;20;;;;O;O;R;O;.;0;0;;;O;N;O;;;02/18/2026 11:31:01;0551;;0;N;N;;N;N;;N;O;;15;9;;N;;;;;;N
2010201;.;20;10;201;O;;;;;0;0;0;20;;;;O;O;R;O;.;0;0;;;O;N;O;;;02/18/2026 11:31:01;0551;;0;N;N;;N;N;;N;O;;15;9;;N;;;;;;N
5030626;NOKIA 6260;50;30;626;N;;;;;412;19;78;490;N;;;O;O;R;O;NOKIA 6260;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:52;1269;;0;N;N;;N;N;415;N;N;11;;;;N;;;;;;N
5030668;NOKIA 6260;50;30;626;N;;;;;596;19;113;709;N;;;O;O;R;O;NOKIA 6260;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:52;1269;;0;N;N;;N;N;601;N;N;11;;;;N;;;;;;N
4000005;SWAP SIM 64K HLR 2;40;00;005;N;;;;;1;19;0;2;;;;O;O;R;O;SWAP SIM 64K HLR 2;0;0;7051000001;4719000;O;N;N;;O;02/18/2026 11:31:01;0551;;0;N;N;;N;N;;N;O;7;21;11;;N;;;;;;N
5030111;NOKIA 1101;50;30;111;N;;;;;159;19;30;189;N;;;O;O;R;O;NOKIA 1101;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:52;2092;;0;N;N;;O;N;160;N;O;11;;;;N;;;;;;N
5020211;PORTABLE SAMSUNG SGH-C210;50;20;211;N;;;;;83;19;16;99;N;;;O;O;R;O;PORTABLE SAMSUNG SGH-C210;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:52;1544;;0;N;N;;N;N;84;N;N;11;;;;N;;;;;;N
5020640;PORTABLE SAMSUNG SGH-X640;50;20;640;N;;;;;150;19;29;179;N;;;O;O;R;O;PORTABLE SAMSUNG SGH-X640;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:52;3435;;0;N;N;;N;N;150;N;N;11;;;N;N;;03/26/2019 00:00:00;;;;N
5020600;PORTABLE SAMSUNG SGH-E600;50;20;600;N;;;;;251;19;48;299;N;;;O;O;R;O;PORTABLE SAMSUNG SGH-E600;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:52;1269;;0;N;N;;N;N;253;N;N;11;;;;N;;;;;;N
5020340;PORTABLE SAMSUNG SGH-E340;50;20;340;N;;;;;251;19;48;299;N;;;O;O;R;O;PORTABLE SAMSUNG SGH-E340;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:53;1269;;0;N;N;;N;N;253;N;N;11;;;;N;;;;;;N
5020501;PORTABLE SAMSUNG SGH-D500 BT;50;20;501;N;;;;;441;19;84;525;N;;;O;O;R;O;PORTABLE SAMSUNG SGH-D500 BT;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:53;1269;;0;N;N;;N;N;445;N;N;11;;;;N;;;;;;N
5040355;PORTABLE ALCATEL OT355;50;40;355;N;;;;;117;19;22;139;N;;;O;O;R;O;PORTABLE ALCATEL OT355;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:53;3435;;0;N;N;;N;N;117;N;N;11;;;N;N;;12/18/2018 00:00:00;;;;N
5040557;PORTABLE ALCATEL OT557;50;40;557;N;;;;;164;19;31;195;N;;;O;O;R;O;PORTABLE ALCATEL OT557;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:53;3435;;0;N;N;;N;N;164;N;N;11;;;N;N;;12/18/2018 00:00:00;;;;N
5040651;PORTABLE ALCATEL C651;50;40;651;N;;;;;209;19;40;249;N;;;O;O;R;O;PORTABLE ALCATEL C651;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:53;3435;;0;N;N;;N;N;209;N;O;11;;;O;N;;03/27/2019 00:00:00;;;;N
8811045;E-Voucher 5 DT;88;11;045;N;;;;;4;19;1;5;;;;N;N;R;O;E-Voucher 5 DT;0;0;70521089900;4719000;N;N;N;;O;02/18/2026 11:31:04;0551;F;0;N;N;;N;N;;N;O;;;;;N;;;;N;;N
8811046;E-Voucher 10 DT;88;11;046;N;;;;;8;19;2;10;;;;N;N;R;O;E-Voucher 10 DT;0;0;70521089900;4719000;N;N;N;;O;02/18/2026 11:31:04;0551;F;0;N;N;;N;N;;N;O;;;;;N;;;;N;;N
5030610;PORTABLE NOKIA 6101;50;30;610;N;;;;;234;19;45;279;N;;;O;O;R;O;PORTABLE NOKIA 6101;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:31:02;1269;;0;N;N;;N;N;236;N;N;11;;;;N;;;;;;N
5030669;NOKIA 6681;50;30;669;N;;;;;512;19;97;609;N;;;O;O;R;O;NOKIA 6681;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:31:04;1269;;0;N;N;;N;N;516;N;N;11;;;;N;;;;;;N
5060115;MOTOROLA C115;50;60;115;N;;;;;57;19;11;68;N;;;O;O;R;O;MOTOROLA C115;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:31:04;1269;;0;N;N;;N;N;58;N;N;11;;;;N;;;;;;N
8811047;INTERETS DE RETARD;88;11;047;N;;;;;0;0;0;0;;;;O;N;R;O;INTERETS DE RETARD;0;0;;;N;N;N;;O;02/18/2026 11:30:53;0551;L;0;N;N;;N;N;;N;O;;4;3;;N;;;73;N;;N
5030112;NOKIA 1110;50;30;112;N;;;;;71;19;14;85;N;;;O;O;R;O;NOKIA 1110;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:53;1269;;0;N;N;;N;N;72;N;N;11;;;;N;;;;;;N
5070001;MY X1-2;50;70;001;N;;;;;50;19;9;59;N;;;O;O;R;O;MY X1-2;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:53;1269;;0;N;N;;N;N;50;N;N;11;;;;N;;;;;;N
5070003;MY C4-2;50;70;003;N;;;;;121;19;23;144;;;;O;O;R;O;MY C4-2;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:53;1554;;0;N;N;;O;N;122;N;O;11;;;;N;;;;;;N
5070004;MY X6-2;50;70;004;N;;;;;243;19;46;289;N;;;O;O;R;O;MY X6-2;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:53;1269;;0;N;N;;O;N;245;N;N;11;;;;N;;;;;;N
5080001;LG B2000;50;80;001;N;;;;;100;19;19;119;N;;;O;O;R;O;LG B2000;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:53;1269;;0;N;N;;N;N;101;N;N;11;;;;N;;;;;;N
5080003;LG F2400;50;80;003;N;;;;;318;19;61;379;N;;;O;O;R;O;LG F2400;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:53;1269;;0;N;N;;N;N;321;N;N;11;;;;N;;;;;;N
5020341;SAMSUNG SGH -E340 BT;50;20;341;N;;;;;327;19;62;389;N;;;O;O;R;O;SAMSUNG SGH -E340 BT;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:31:04;1269;;0;N;N;;N;N;330;N;N;11;;;;N;;;;;;N
5080004;LG B2100;50;80;004;N;;;;;134;19;25;159;N;;;O;O;R;O;LG B2100;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:56;1269;;0;N;N;;N;N;135;N;N;11;;;;N;;;;;;N
5030604;NOKIA 6030;50;30;604;N;;;;;100;19;19;119;N;;;O;O;R;O;NOKIA 6030;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:56;1269;;0;N;N;;N;N;101;N;N;11;;;;N;;;;;;N
5020760;SAMSUNG SGH-E760;50;20;760;N;;;;;302;19;57;359;N;;;O;O;R;O;SAMSUNG SGH-E760;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:31:05;1269;;0;N;N;;N;N;304;N;N;11;;;;N;;;;;;N
5030312;NOKIA 3120;50;30;312;N;;;;;105;19;20;125;N;;;O;O;R;O;NOKIA 3120;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:31:05;1269;;0;N;N;;N;N;106;N;N;11;;;;N;;;;;;N
7020002;KIT BLUETOOTH MOTOROLA HS805;70;20;002;N;;;;;72;10;7;79;;;;O;N;R;O;KIT BLUETOOTH MOTOROLA HS805;0;0;70521089900;4719000;O;N;N;;N;02/18/2026 11:31:05;0551;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
5020200;SAMSUNG SGH-X200;50;20;200;N;;;;;117;19;22;139;N;;;O;O;R;O;SAMSUNG SGH-X200;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:56;3435;;0;N;N;;N;N;117;N;N;11;;;N;N;;03/26/2019 00:00:00;;;;N
5020530;SAMSUNG SGH-X200;50;20;200;N;;;;;386;19;73;459;N;;;O;O;R;O;SAMSUNG SGH-X200;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:56;1269;;0;N;N;;N;N;389;N;N;11;;;;N;;;;;;N
5020601;PORTABLE SAMSUNG SGH D600;50;20;601;N;;;;;453;19;86;539;N;0;;O;O;R;O;PORTABLE SAMSUNG SGH D600;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:53;1269;;0;N;N;;O;N;457;N;N;11;;;;N;;;;;;N
5090290;PORTABLE SONY ERICSSON T290i;50;90;290;N;;;;;66;19;13;79;N;;;O;O;R;O;PORTABLE SONY ERICSSON T290i;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:54;1269;;0;N;N;;N;N;67;N;N;11;;;;N;;;;;;N
5090210;PORTABLE SONY ERICSSON J210i;50;90;210;N;;;;;117;19;22;139;N;;;O;O;R;O;PORTABLE SONY ERICSSON J210i;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:54;1269;;0;N;N;;N;N;118;N;N;11;;;;N;;;;;;N
5090300;PORTABLE SONY ERICSSON J300i;50;90;300;N;;;;;113;19;22;135;N;;;O;O;R;O;PORTABLE SONY ERICSSON J300i;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:54;1269;;0;N;N;;N;N;114;N;N;11;;;;N;;;;;;N
5090750;PORTABLE SONY ERICSSON K750i BT;50;90;750;N;;;;;367;19;70;437;N;;;O;O;R;O;PORTABLE SONY ERICSSON K750i BT;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:54;1269;;0;N;N;;N;N;370;N;N;11;;;;N;;;;;;N
4000006;SWAP SIM 64K HLR 3;40;00;006;N;;;;;1;19;0;2;;;;O;O;R;O;SWAP SIM 64K HLR 3;0;0;7051000001;4719000;O;N;N;;O;02/18/2026 11:29:49;0551;;0;N;N;;N;N;;N;O;7;21;11;;N;;;;;;N
8811048;E-VOUCHER;88;11;048;N;;;;;0;19;0;0;;;;O;N;R;O;E-VOUCHER;0;;;;N;N;N;;O;02/18/2026 11:31:02;0551;L;14;N;N;;N;N;;N;O;10;8;10;;N;;;1;N;;N
5080007;PORTABLE LG P7200;50;80;007;N;;;;;394;19;75;469;N;;;O;O;R;O;PORTABLE LG P7200;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:56;1269;;0;N;N;;N;N;397;N;N;11;;;;N;;;;;;N
5030606;PORTABLE NOKIA 6060;50;30;606;N;;;;;142;19;27;169;N;;;O;O;R;O;PORTABLE NOKIA 6060;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:56;1269;;0;N;N;;N;N;143;N;N;11;;;;N;;;;;;N
5030070;PORTABLE NOKIA N70;50;30;070;N;;;;;295;19;56;351;N;;;O;O;R;O;PORTABLE NOKIA N70;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:56;1269;;0;N;N;;N;N;297;N;N;11;;;;N;;;;;;N
7020003;KIT BLUETOOTH MOTOROLA H500;70;20;003;N;;;;;71;12;8;79;;;;O;N;R;O;KIT BLUETOOTH MOTOROLA H500;0;0;70521089900;4719000;O;O;N;;N;02/18/2026 11:31:02;1554;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
5090800;PORTABLE SONY ERICSSON W800i;50;90;800;N;;;;;503;19;96;599;N;;;O;O;R;O;PORTABLE SONY ERICSSON W800i;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:54;1269;;0;N;N;;N;N;508;N;N;11;;;;N;;;;;;N
5060171;PORTABLE MOTOROLA V171;50;60;171;N;;;;;108;19;20;128;N;;;O;O;R;O;PORTABLE MOTOROLA V171;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:29:49;1269;;0;N;N;;N;N;108;N;N;11;;;;N;;;;;;N
2010102;KIT BUSINESS PRO HLR1;20;10;102;O;;;;;0;0;0;20;;;;O;O;R;O;KIT BUSINESS PRO HLR1;0;0;;;O;N;O;;;02/18/2026 11:30:54;0551;;0;N;N;;N;N;;N;O;;15;9;;N;;;;;;N
2020306;KIT AWAL 23;20;20;306;O;;;;;0;0;0;10;;;;O;O;R;O;KIT AWAL 23;0;0;;;O;N;O;;;02/18/2026 11:30:54;0551;;0;N;N;;N;N;;N;O;;14;9;;N;;;;;;N
1010089;PACK CARTE GC89 POST1;10;10;089;O;;;;;0;0;0;649;;;;O;O;R;O;PACK CARTE GC89 POST1;0;0;;;O;N;O;;;02/18/2026 11:30:54;0551;;0;N;N;;N;N;;N;O;;;;;N;;;;;;N
9950089;CP. CARTE GC89;99;50;089;N;;;;;543;19;103;647;;;;N;N;R;O;CP. CARTE GC89;0;0;4722121110;4719000;O;N;N;;;02/18/2026 11:30:54;0551;;0;N;N;;N;N;;N;O;;;;;N;;;;;;N
5020150;PORTABLE SAMSUNG SGH-X150;50;20;150;N;;;;;108;19;21;129;N;;;O;O;R;O;PORTABLE SAMSUNG SGH-X150;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:54;1544;;0;N;N;;N;N;109;N;N;11;;;;N;;;;;;N
5040159;PORTABLE ALCATEL OT-159;50;40;159;N;;;;;75;19;14;89;N;;;O;O;R;O;PORTABLE ALCATEL OT-159;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:55;3435;;0;N;N;;N;N;75;N;N;11;;;N;N;;03/27/2019 00:00:00;;;;N
5040252;PORTABLE ALCATEL OT-252;50;40;252;N;;;;;78;19;15;93;N;;;O;O;R;O;PORTABLE ALCATEL OT-252;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:55;3435;;0;N;N;;N;N;78;N;N;11;;;N;N;;03/26/2019 00:00:00;;;;N
5040001;PORTABLE ALCATEL ELLE-N1;50;40;001;N;;;;;223;19;42;265;N;;;O;O;R;O;PORTABLE ALCATEL ELLE-N1;0;0;4722121110;4719000;O;O;O;;O;02/18/2026 11:30:55;3435;;0;N;N;;N;N;223;N;N;11;;;N;N;;12/01/2018 00:00:00;;;;N
7020004;KIT ML / NOKIA / PF9023-1;70;20;004;N;;;;;10;19;2;12;;;;O;N;R;O;KIT ML / NOKIA / PF9023-1;0;0;70521089900;4719000;O;O;N;;N;02/18/2026 11:30:57;1554;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
7020005;KIT ML / NOKIA/ PF9017-6;70;20;005;N;;;;;10;19;2;12;;;;O;N;R;O;KIT ML / NOKIA/ PF9017-6;0;0;70521089900;4719000;O;O;N;;N;02/18/2026 11:30:57;1554;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
7020006;KIT ML / SAMSUNG / PF9046-1;70;20;006;N;;;;;11;19;2;13;;;;O;N;R;O;KIT ML / SAMSUNG / PF9046-1;0;0;70521089900;4719000;O;O;N;;N;02/18/2026 11:30:57;1554;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
7020007;KIT ML / SAMSUNG / PF9046-6;70;20;007;N;;;;;10;19;2;12;;;;O;N;R;O;KIT ML / SAMSUNG / PF9046-6;0;0;70521089900;4719000;O;O;N;;N;02/18/2026 11:30:57;1554;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
7030002;CH V / SONY ERICSSON / PF1061;70;30;002;N;;;;;10;19;2;12;;;;O;N;R;O;CH V / SONY ERICSSON / PF1061;0;0;70521089900;4719000;O;O;N;;N;02/18/2026 11:30:57;1554;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
7030003;CH V / LG / PF1037;70;30;003;N;;;;;10;19;2;12;;;;O;N;R;O;CH V / LG / PF1037;0;0;70521089900;4719000;O;O;N;;N;02/18/2026 11:30:57;1554;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
7030004;CH V / SIEMENS / PF1060;70;30;004;N;;;;;10;19;2;12;;;;O;N;R;O;CH V / SIEMENS / PF1060;0;0;70521089900;4719000;O;O;N;;N;02/18/2026 11:30:57;1554;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
7030006;CH S / SAMSUNG / PF8049;70;30;006;N;;;;;11;19;2;13;;;;O;N;R;O;CH S / SAMSUNG / PF8049;0;0;70521089900;4719000;O;O;N;;N;02/18/2026 11:30:57;1554;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
7030007;CH S / SONY ERICSSON / PF8038;70;30;007;N;;;;;11;19;2;13;;;;O;N;R;O;CH S / SONY ERICSSON / PF8038;0;0;70521089900;4719000;O;O;N;;N;02/18/2026 11:30:57;1554;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
7030008;CH S / LG / PF8020;70;30;008;N;;;;;11;19;2;13;;;;O;N;R;O;CH S / LG / PF8020;0;0;70521089900;4719000;O;O;N;;N;02/18/2026 11:30:58;1554;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
7010001;BAT/ Nokia 2100,6600;70;10;001;N;;;;;25;19;5;30;;;;O;N;R;O;BAT/ Nokia 2100,6600;0;0;70521089900;4719000;O;N;N;;N;02/18/2026 11:30:58;0551;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
7010002;BAT/ Samsung E700;70;10;002;N;;;;;19;19;4;23;;;;O;N;R;O;BAT/ Samsung E700;0;0;70521089900;4719000;O;O;N;;N;02/18/2026 11:30:58;1554;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
7040001;ETUIT.C.H / M / PF2057-1;70;40;001;N;;;;;15;19;3;18;;;;O;N;R;O;ETUIT.C.H / M / PF2057-1;0;0;70521089900;4719000;O;O;N;;N;02/18/2026 11:30:58;1554;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
7040003;ETUIT.C.H / XL / PF2057;70;40;003;N;;;;;15;19;3;18;;;;O;N;R;O;ETUIT.C.H / XL / PF2057;0;0;70521089900;4719000;O;O;N;;N;02/18/2026 11:30:58;1554;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
7040004;ETUIT.C.H / XXL /PF2057-4;70;40;004;N;;;;;15;19;3;18;;;;O;N;R;O;ETUIT.C.H / XXL /PF2057-4;0;0;70521089900;4719000;O;O;N;;N;02/18/2026 11:30:58;1554;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
7040005;ETUIT.C.V / S / PF2151;70;40;005;N;;;;;15;19;3;18;;;;O;N;R;O;ETUIT.C.V / S / PF2151;0;0;70521089900;4719000;O;O;N;;N;02/18/2026 11:30:58;1554;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
7040007;ETUIT.C.V / L /  PF2153;70;40;007;N;;;;;15;19;3;18;;;;O;N;R;O;ETUIT.C.V / L /  PF2153;0;0;70521089900;4719000;O;O;N;;N;02/18/2026 11:30:58;1554;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
7040008;ETUIT.C.V / XL / PF2154;70;40;008;N;;;;;15;19;3;18;;;;O;N;R;O;ETUIT.C.V / XL / PF2154;0;0;70521089900;4719000;O;O;N;;N;02/18/2026 11:30:58;1554;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
7040009;ETUIT.TR / NOKIA / PF2376;70;40;009;N;;;;;9;19;2;11;;;;O;N;R;O;ETUIT.TR / NOKIA / PF2376;0;0;70521089900;4719000;O;N;N;;N;02/18/2026 11:30:58;0551;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
7040010;ETUIT.TR / NOKIA / PF2376;70;40;010;N;;;;;9;19;2;11;;;;O;N;R;O;ETUIT.TR / NOKIA / PF2376;0;0;70521089900;4719000;O;N;N;;N;02/18/2026 11:30:58;0551;F;0;N;N;;N;N;;N;O;21;;;;N;;;;;;N
